TIME,GROUP,DESC
18:56:08,INIT,[color=red]XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
18:56:08,INIT,[color=red]XX========== BOOTING ==============================================XX
18:56:08,INIT,[color=red]XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
18:56:08,INIT,Alecandria parses external LEC into Entities...
18:56:08,INIT,[color=lime]148[color=white] LECs Parsed
18:56:08,INIT,Alecandria done!
18:56:08,INIT,Sokratiles parses Tilesets into Entities...
18:56:08,INIT,Sokratiles done!
18:56:08,INIT,Mode to start by file "tools/gameinit.txt": [color=lime]bootMenue
18:56:08,INIT,Finished at [color=lime]1265 [color=white]Milliseconds!
18:56:08,INIT,====================================================================
18:56:08,INIT,============ BOOTING DONE ==========================================
18:56:08,INIT,====================================================================
18:56:09,BOOT,[color=lime]StartingKits[color=white] set!
18:56:09,BOOT,[color=lime]StartingKits[color=white] set!
18:56:11,BOOT,loading savestate [color=lime]quickStart[color=white] with Nr[color=lime]1[color=white]
18:56:11,BOOT,starting in [color=lime]Tilemap[color=white]
18:57:36,INIT,[color=red]XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
18:57:36,INIT,[color=red]XX========== BOOTING ==============================================XX
18:57:36,INIT,[color=red]XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
18:57:36,INIT,Alecandria parses external LEC into Entities...
18:57:36,INIT,[color=lime]148[color=white] LECs Parsed
18:57:36,INIT,Alecandria done!
18:57:36,INIT,Sokratiles parses Tilesets into Entities...
18:57:36,INIT,Sokratiles done!
18:57:36,INIT,Mode to start by file "tools/gameinit.txt": [color=lime]bootMenue
18:57:36,INIT,Finished at [color=lime]1318 [color=white]Milliseconds!
18:57:36,INIT,====================================================================
18:57:36,INIT,============ BOOTING DONE ==========================================
18:57:36,INIT,====================================================================
18:57:37,BOOT,[color=lime]StartingKits[color=white] set!
18:57:37,BOOT,[color=lime]StartingKits[color=white] set!
18:57:39,BOOT,loading savestate [color=lime]quickStart[color=white] with Nr[color=lime]1[color=white]
18:57:39,BOOT,starting in [color=lime]Tilemap[color=white]
19:02:52,INIT,[color=red]XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
19:02:52,INIT,[color=red]XX========== BOOTING ==============================================XX
